@relation Pacific_Law_plastics_1-V3

@attribute ﻿Long(E) numeric
@attribute Lat(N) numeric
@attribute 'Plastic conc. (pieces/km2)' numeric

@data
-147.52,38.16,112903
-146.05,38.36,116231
-145.2,38.17,150692
-143.91,38.53,194858
-142.59,38.94,32570
-141.24,39.11,183681
-140.36,39.12,77404
-138.81,39.12,52681
-138,39,305344
-136.32,39.18,172258
-135.59,39.27,78822
-134.09,39.44,44261
-132.53,39.52,28093
-131.12,39.52,17217
-127.1,38.82,4856
-118.24,33.36,3433
-126.71,22.39,1192
-129.98,14.97,1020
-132.4,12.58,8184
-133.01,10.98,1496
-136.84,11.57,569
-137.61,11.95,1199
-138.49,12.26,402
-144.48,14.71,1184
-146.46,15.66,7424
-158.29,18.12,2801
-158.73,14.3,1130
-161.83,6.22,1010
-162.12,5.81,2059
-154.1,7.82,4215
-155.27,17.85,2373
-162.1,23.1,13803
-162.77,23.31,1999
-163.7,23.58,10559
-164.1,23.4,29230
-164.78,23.65,22983
-165.15,23.78,616
-165.08,24.9,2694
-160.23,22.98,4385
-160.35,23.63,414
-160.95,25.35,11619
-160.82,29.06,60447
-159.94,29.85,17028
-158.36,30.24,30348
-157.9,31.25,1136
-157.4,32.73,71527
-157.41,33.88,10658
-156.48,37.46,17828
-153.37,39.73,8376
-152.07,40.6,648148
-148.68,41.61,10360
-147.15,41.98,999
-145.34,42.15,14967
-143.34,42.26,8203
-139.94,42.17,8314
-137.13,42.03,2280
-134.19,42.03,1073
-133.37,42.05,4385
-132,41.98,1899
-118.95,33.78,463
-118.36,33.47,5348
-118.95,33.85,3128
-123.9,31.12,5845
-124.54,30.09,874
-125.05,29.14,8686
-125.42,28.52,42362
-125.78,28.02,7087
-126.2,27.31,1179
-126.6,26.59,9415
-127.07,25.94,1788
-127.15,25.12,5027
-127.22,24.43,4912
-127.47,23.91,28254
-128.08,23,7971
-128.64,22.03,8229
-129.34,20.63,34906
-129.72,20.04,10508
-130.03,19.5,3825
-130.52,18.64,3355
-131.08,17.54,8774
-131.4,16.72,4238
-132.04,15.46,790
-132.61,14.51,1474
-133.13,13.8,466
-133.65,12.89,2145
-133.93,11.98,289
-134.4,11.01,575
-134.94,10.18,445
-134.98,9.36,582
-135.37,6.58,540
-139.6,9.39,2122
-141.11,10.88,1538
-141.96,11.29,2122
-142.9,11.89,7977
-143.72,12.32,6858
-144.61,12.86,20871
-146.75,13.99,3988
-147.59,14.29,7084
-148.73,14.77,1350
-149.47,15.23,13002
-150.31,16.06,22825
-150.94,16.57,1339
-151.61,17.07,3688
-152.32,17.64,3718
-158.01,18.04,512
-157.89,15.83,1303
-156.71,7.62,470
-156.07,-8.35,624
-154.98,-11.29,603
-153.26,-13.82,1332
-150.65,-16.85,1847
-149.93,-17.43,428
-143.38,-10.92,364
-144.81,-5.59,1225
-155.22,15.28,530
-155.46,17.43,433
-158.01,19.82,2466
-158.04,19.11,1318
-158.2,18.7,766
-158.79,18.91,7429
-159.26,18.94,3367
-159.95,19.06,13455
-160.65,19.32,5893
-161.68,19.83,3992
-162.79,20.24,4783
-163.49,20.61,1427
-164.37,21.01,8752
-165.74,21.64,9209
-167.08,22.21,59368
-168.86,23.02,11350
-170.07,23.63,3812
-172.09,24.26,7811
-175.69,25.96,5612
-176.54,26.9,3479
-176.71,29.04,9300
-176.45,29.41,21447
-175.71,29.81,1482
-175.06,30.15,16681
-174.04,30.23,3129
-172.62,30.28,25414
-170.61,30.92,16019
-169.19,31.32,90407
-168.11,31.64,24862
-167.54,31.77,493367
-166.13,32.21,39023
-164.67,32.68,76662
-163.48,32.98,42817
-162.61,33.08,20514
-161.23,33.5,10844
-160.29,33.72,84780
-159.38,33.59,29660
-158.41,32.83,42472
-157.63,32.31,19897
-156.8,31.95,52841
-155.84,31.85,48469
-155.32,32.17,80415
-154.83,32.15,76352
-154.34,31.53,33935
-153.98,30.62,69496
-153.73,30.2,299534
-153.71,29.36,464434
-153.95,28.17,133421
-154.01,26.81,6527
-154.14,25.65,76841
-154.43,25.28,14100
-154.7,24.86,11136
-155.17,23.85,18055
-155.64,22.72,24145
-156.05,21.74,9890
-156.44,21.11,2742
-158.31,20.53,3150
-158.71,19.89,3182
-158.94,19.59,1161
-159.27,19.26,1832
-159.46,18.53,4522
-160.16,16.16,1716
-161.27,11.34,486
-156.49,6.68,1121
-158.45,16.02,557
-158.57,16.89,526
-158.59,17.76,4021
-158.43,18.61,1699
-158.64,22.17,25151
-158.88,23.04,5881
-158.95,23.77,4238
-158.93,24.56,7818
-159.12,25.18,915
-159.33,25.74,3479
-159.71,27.01,4130
-159.84,27.63,3371
-159.92,28.22,7469
-160.08,29.2,982
-160.33,29.92,3779
-160.51,30.75,25254
-160.45,31.68,29446
-160.51,32.32,36834
-160.66,32.85,20557
-160.91,33.79,30039
-160.15,36.07,19623
-159.72,37.15,7964
-159.54,37.88,4709
-159.24,38.67,35345
-158.72,39.41,17348
-157.43,40.21,50798
-156.08,40.47,19294
-154.31,40.54,6733
-152.72,40.59,2583
-151.03,40.41,7242
-146.94,40.64,5024
-145.08,40.58,6071
-143.33,40.65,1637
-141.36,40.73,7402
-139.85,40.78,2782
-134.57,40.76,2853
-132.64,40.77,5013
-126.99,40.09,2600
-121.98,36.81,590
-118.91,33.73,376
-118.54,33.57,3032
-128.79,27.7,2709
-129.31,25.69,864
-129.39,24.81,51258
-129.27,23.42,7433
-129.34,22.83,4331
-129.39,21.65,3373
-129.47,19.23,1640
-129.59,17.15,695
-129.66,16.55,1414
-129.79,14.73,543
-129.94,13.83,868
-130.43,11.07,4373
-130.83,10.67,4203
-131.19,10,1817
-131.99,10.53,738
-134.88,10.89,709
-137.65,11.71,699
-138.86,12.34,1051
-139.6,12.76,2244
-141.35,14.21,4681
-145.03,16.52,1065
-145.84,16.64,683
-146.68,16.81,397
-147.48,16.77,597
-148.43,16.94,1159
-149.41,17.26,1067
-150.4,17.64,531
-155.99,19.45,11342
-158.03,19.41,524
-158.02,19.15,446
-158.28,17.19,387
-158,14.64,423
-156.53,7.13,989
-156.6,4.9,2382
-157.17,-2.24,1521
-155.16,-10.37,1888
-154.88,-11.09,407
-151.87,-15.33,1115
-152.29,-16.59,4557
-152.02,-16.8,5126
-151.69,-16.57,1520
-151.84,-16.44,4713
-150.71,-16.65,3739
-150.43,-17.08,788
-148.14,-15.99,1359
-148.34,-15.27,411
-147.02,-14.69,483
-143.01,-14.03,8207
-145.48,-13.67,833
-142.21,-10.73,655
-142.64,-6.7,587
-156.27,0.64,428
-157.34,3.48,1472
-157.88,21.25,992
-158.05,20.69,1800
-158.39,19.9,464
-158.68,18.96,4200
-158.96,18.42,8345
-159.22,17.38,963
-159.46,15.39,1321
-159.29,14.59,1967
-159.18,13.65,1320
-159.02,11.49,433
-158.16,6.39,3660
-158.02,5.68,411
-157.54,3.88,647
-158.89,2.53,1539
-161.95,5.55,1813
-162.09,6.64,13499
-161.06,15.46,619
-159.72,18.47,8722
-159.29,19.09,4546
-158.85,19.41,7855
-156.47,19.43,4388
-157.82,20.38,1568
-157.97,19.19,14133
-158.49,18.25,58866
-158.8,17.17,1073
-158.9,15.83,4590
-158.81,14.91,544
-158.85,13.94,541
-158.69,22.34,3198
-158.82,23.02,6242
-158.88,23.91,4447
-158.85,24.61,5046
-158.94,26.51,9468
-159.03,28.33,10706
-158.81,29.1,1146
-158.62,30.01,10181
-157.36,29.7,21643
-157.1,30.33,25341
-157.24,31.3,38649
-157.05,32.18,31888
-156.79,32.54,53579
-156.55,32.81,101980
-155.66,33.19,7263
-155.85,34.03,4354
-155.49,35.11,113081
-154.97,36.13,112033
-153.55,37.12,63737
-151.84,37.71,92411
-150.25,38.03,55109
-148.42,38.34,99623
-146.57,38.69,116797
-145.63,39,25446
-143.33,39.1,11720
-142,39.15,32553
-140.16,39.18,117270
-139.31,39.25,4635
-137.71,39.39,65069
-136.55,39.54,15546
